female;phsrank;BA;AA;black;hispanic;id;exper;jc;univ;lwage;stotal;smcity;medcity;submed;lgcity;sublg;vlgcity;subvlg;ne;nc;south;totcoll
1;43;0;0;0;0;18928;152;0;.1;1.300.752;.8624859;0;1;0;0;0;0;0;0;0;0;.1
1;8;1;0;1;0;18941;93;0;4.5;1.832.582;.2675714;0;0;0;0;0;1;0;1;0;0;4.5
1;70;0;0;1;0;18947;158;2.955.552;.6666645;1.961.658;-.0070045;0;1;0;0;0;0;0;0;1;0;3.622.217
0;76;1;0;0;0;18969;145;0;4.1;2.566.737;1.159.943;0;0;0;0;0;0;0;0;1;0;4.1
1;62;0;0;0;1;18978;160;0;0;2.290.512;-1.173.952;0;1;0;0;0;0;0;0;0;1;0
1;94;1;0;0;0;18981;162;0;3.933.333;274.084;.6107914;0;0;0;0;0;0;1;0;0;1;3.933.333
1;94;1;0;0;0;18997;73;0;4.233.333;2.397.895;.3133341;0;0;0;0;0;0;1;0;0;1;4.233.333
0;45;0;0;0;0;19008;146;0;0;2.599.317;-.1214111;0;0;0;0;0;0;1;1;0;0;0
1;71;1;0;1;0;19035;135;2.4;264.444;1.871.802;-.5790377;1;0;0;0;0;0;0;0;0;1;504.444
0;73;1;0;0;0;19047;67;0;3.566.667;3.101.093;1.526.044;0;0;0;0;0;0;1;1;0;0;3.566.667
0;50;0;0;1;0;19054;166;0;0;1.633.343;-112.819;1;0;0;0;0;0;0;0;0;1;0
1;44;0;0;0;0;19065;162;0;0;2.476.538;.1760461;0;1;0;0;0;0;0;1;0;0;0
0;61;0;0;0;0;19087;132;.2222219;6.466.666;2.219.203;.4506221;0;1;0;0;0;0;0;0;1;0;6.688.888
1;89;0;0;0;0;19088;88;0;0;1.547.562;.5879101;0;1;0;0;0;0;0;1;0;0;0
1;99;1;0;0;0;19112;116;0;5.022.217;2.777.065;1.159.943;1;0;0;0;0;0;0;0;0;1;5.022.217
0;30;1;0;0;0;19132;112;0;4.166.667;1.386.294;.5650287;0;0;0;1;0;0;0;0;1;0;4.166.667
1;95;0;0;0;0;19137;127;0;0;1.981.001;1.411.638;0;0;0;0;0;0;0;1;0;0;0
0;54;0;0;0;0;19149;114;0;0;2.554.771;.4277408;0;0;0;0;0;0;0;0;0;0;0
0;39;0;1;0;0;19150;124;3.5;0;2.435.316;.3590968;0;1;0;0;0;0;0;1;0;0;3.5
0;11;0;0;0;0;19155;157;.1;.8;2.397.895;.5650287;0;0;0;1;0;0;0;1;0;0;.9
1;95;1;0;0;0;19167;62;0;4.233.333;2.125.982;.5879101;0;0;1;0;0;0;0;0;1;0;4.233.333
1;35;0;0;1;0;19169;54;0;0;1.386.294;-.1900551;0;0;0;0;0;1;0;0;1;0;0
0;49;0;1;0;0;19191;143;0;4.333.333;2.287.081;.1760461;1;0;0;0;0;0;0;1;0;0;4.333.333
1;62;0;0;0;0;19205;136;0;0;2.251.292;-.0298858;0;1;0;0;0;0;0;0;1;0;0
1;49;0;0;1;0;19206;159;0;0;217.242;-.0985298;0;0;0;1;0;0;0;0;0;1;0
1;91;0;0;0;0;19226;161;0;0;1.859.418;.3590968;0;0;0;0;0;0;0;0;0;1;0
0;4;0;0;1;0;19228;31;0;0;2.641.359;-302.734;0;0;0;0;0;0;0;0;0;1;0
0;0;0;0;0;0;19235;90;0;0;2.045.467;-.7620883;1;0;0;0;0;0;0;1;0;0;0
0;14;0;0;0;0;19265;157;0;0;17.492;-.6248003;0;0;0;0;0;0;0;0;1;0;0
0;36;0;0;0;0;19306;157;0;0;2.079.442;-.4875124;1;0;0;0;0;0;0;1;0;0;0
0;32;1;0;0;0;19313;70;0;4.6;204.554;.3362154;0;0;0;0;1;0;0;1;0;0;4.6
0;70;0;0;0;0;19334;117;0;0;2.066.863;.7023167;0;0;0;0;0;0;0;1;0;0;0
0;50;0;0;0;1;19347;153;2.033.333;0;1.987.874;-1.700.223;0;0;0;1;0;0;0;0;0;0;2.033.333
1;89;0;0;0;0;19354;164;.1111106;.1666666;2.045.238;.5879101;0;0;0;0;0;0;0;0;0;1;.2777772
0;74;1;0;1;0;19359;110;.3;3.533.328;1.578.955;-.2586991;0;0;0;1;0;0;0;0;0;1;3.833.328
1;67;0;0;1;0;19362;127;0;2.366.667;2.525.729;-.4417497;0;0;0;1;0;0;0;1;0;0;2.366.667
0;88;0;0;0;0;19382;105;0;0;3.465.736;.3362154;1;0;0;0;0;0;0;1;0;0;0
1;34;0;0;0;0;19395;134;0;0;2.231.176;-.0070045;1;0;0;0;0;0;0;0;0;1;0
0;5;0;0;0;0;19396;163;0;0;1.984.131;-.4417497;0;0;0;0;0;0;0;0;0;1;0
1;42;0;0;0;0;19420;156;0;0;19.951;-.0298858;0;0;0;0;0;0;0;1;0;0;0
0;22;0;0;0;0;19426;134;1.833.333;0;2.570.065;-.6934443;0;0;0;0;0;1;0;0;0;1;1.833.333
0;42;0;0;0;0;19430;155;0;0;1.646.479;-1.883.273;0;0;0;0;0;0;0;0;1;0;0
1;69;0;0;0;0;19452;139;0;1.2;1.938.127;1.022.655;0;0;0;0;0;0;0;0;0;1;1.2
1;87;1;0;0;0;19470;144;0;4.222.217;2.452.986;.2904528;0;0;1;0;0;0;0;0;1;0;4.222.217
0;31;1;0;0;0;19474;130;0;475.555;2.083.977;.1302835;0;0;0;0;0;0;0;0;1;0;475.555
0;51;0;0;0;0;19475;115;0;0;2.120.264;.0387582;0;1;0;0;0;0;0;1;0;0;0
1;76;0;0;0;0;19477;100;.355555;0;2.003.017;.1989275;0;0;0;1;0;0;0;0;0;1;.355555
0;54;1;0;0;0;19483;135;0;4.444.438;2.818.398;.8624859;0;0;0;1;0;0;0;0;0;1;4.444.438
0;66;0;0;0;0;19484;47;0;5.533.329;2.181.839;.4506221;1;0;0;0;0;0;0;1;0;0;5.533.329
0;78;1;0;0;0;19487;148;.1;5.966.667;2.788.093;1.434.519;0;0;0;0;0;1;0;0;0;1;6.066.667
0;98;0;0;0;0;19497;87;0;6.883.333;3.075.775;1.846.383;0;0;0;1;0;0;0;0;1;0;6.883.333
0;62;1;0;0;0;19501;144;0;4.466.667;1.909.543;1.068.418;0;0;0;0;0;0;0;1;0;0;4.466.667
0;48;0;0;0;1;19503;143;1.45;0;3.089.677;.3133341;0;1;0;0;0;0;0;0;0;0;1.45
1;51;1;0;0;0;19506;137;0;2.9;2.536.075;.0845208;0;1;0;0;0;0;0;0;1;0;2.9
0;20;0;0;1;0;19512;133;0;.4;2.556.452;-1.906.155;0;1;0;0;0;0;0;0;0;1;.4
1;87;0;0;0;0;19554;69;0;0;1.321.756;.9540113;0;1;0;0;0;0;0;0;1;0;0
1;85;1;0;0;0;19573;133;1.111.109;2.999.999;2.545.531;.4963847;0;1;0;0;0;0;0;0;0;1;4.111.108
1;3;0;0;0;0;19577;125;0;0;2.191.563;0;1;0;0;0;0;0;0;0;0;1;0
0;50;0;0;0;0;19580;76;0;5.766.667;1.609.438;.793842;0;0;0;0;1;0;0;0;0;1;5.766.667
0;17;0;0;1;0;19581;162;0;0;3.218.876;-1.929.036;0;0;0;0;0;0;0;0;0;1;0
1;71;0;0;0;0;19593;147;1;0;1.921.324;.0158769;0;1;0;0;0;0;0;0;1;0;1
1;15;0;0;0;0;19609;24;0;0;1.348.073;0;0;0;0;0;0;0;0;0;0;0;0
1;13;0;0;0;0;19615;62;0;0;1.925.416;-1.059.546;1;0;0;0;0;0;0;0;1;0;0
0;92;1;0;0;0;19648;123;0;4.366.667;2.251.292;-.1214111;0;0;0;0;0;0;0;0;0;1;4.366.667
1;48;0;0;1;0;19653;68;0;0;1.636.088;-.327343;0;0;0;1;0;0;0;0;1;0;0
1;50;0;0;0;0;19676;88;.8888875;0;2.375.281;.2904528;0;1;0;0;0;0;0;0;0;0;.8888875
0;91;1;0;0;0;19681;103;0;4.891.667;2.560.049;1.114.181;0;0;0;0;1;0;0;1;0;0;4.891.667
0;33;1;0;0;0;19685;130;0;435.555;2.694.627;.2675714;0;0;1;0;0;0;0;0;0;1;435.555
1;96;1;0;0;0;19707;148;0;4.133.333;2.303.385;1.297.231;1;0;0;0;0;0;0;1;0;0;4.133.333
0;7;0;1;0;0;19723;127;1.933.333;0;2.298.577;-.8307323;1;0;0;0;0;0;0;1;0;0;1.933.333
0;20;0;0;0;0;19738;158;0;.4888883;2.397.895;1.159.943;0;1;0;0;0;0;0;0;0;1;.4888883
1;80;0;0;0;0;19750;159;.8;0;2.501.436;.3133341;0;0;0;0;0;0;0;1;0;0;.8
0;50;1;0;0;0;19752;119;0;5.133.325;2.920.908;.725198;1;0;0;0;0;0;0;0;0;1;5.133.325
1;50;0;0;1;0;19756;117;0;0;2.220.181;.4277408;0;0;0;1;0;0;0;0;0;1;0
1;88;1;0;1;0;19773;152;0;550.555;2.873.899;-.0756485;0;0;0;0;0;0;1;0;0;0;550.555
1;57;0;1;0;0;19776;144;0;1.833.333;2.442.347;.0158769;0;0;1;0;0;0;0;0;1;0;1.833.333
1;12;0;0;0;0;19780;94;0;0;2.628.777;-1.265.478;0;1;0;0;0;0;0;0;0;1;0
1;73;1;0;0;0;19787;113;0;3.666.667;3.178.054;.1531648;0;0;0;0;1;0;0;1;0;0;3.666.667
0;70;0;0;0;1;19789;95;0;0;2.557.639;-.8993762;0;0;0;0;0;1;0;1;0;0;0
1;51;0;0;0;0;19792;44;0;0;1.704.748;0;1;0;0;0;0;0;0;0;0;1;0
1;13;0;0;1;0;19797;75;0;0;2.093.097;-2.020.561;0;1;0;0;0;0;0;0;0;1;0
0;53;0;0;0;0;19802;157;0;0;1.392.181;-.3502244;0;0;0;0;0;0;0;0;1;0;0
0;44;1;0;0;0;19820;166;0;6.966.667;2.261.763;-.1442924;1;0;0;0;0;0;0;0;0;1;6.966.667
0;42;1;0;0;0;19823;147;0;4.266.667;2.462.215;.2904528;0;0;0;0;0;1;0;0;0;1;4.266.667
0;79;0;0;0;0;19847;162;0;0;2.226.783;-.5790377;1;0;0;0;0;0;0;1;0;0;0
0;9;0;0;0;0;19849;152;0;0;2.533.697;-.2586991;0;1;0;0;0;0;0;0;0;1;0
0;97;1;0;0;0;19853;117;0;4.799.989;2.953.607;.0845208;0;0;0;0;1;0;0;0;0;1;4.799.989
0;95;1;0;0;0;19864;153;0;4.399.992;2.040.233;1.411.638;0;0;0;0;0;0;0;0;0;1;4.399.992
1;85;0;0;0;0;19902;126;0;5.333.333;2.541.602;.8396046;1;0;0;0;0;0;0;0;0;0;5.333.333
1;74;1;0;0;0;19924;92;0;4.088.883;2.070.673;.5421474;1;0;0;0;0;0;0;0;1;0;4.088.883
1;71;0;0;0;0;19941;154;0;0;2.397.895;0;1;0;0;0;0;0;0;0;1;0;0
0;47;0;0;0;0;19947;126;.2333333;0;2.374.906;1.114.181;0;0;0;0;1;0;0;0;0;0;.2333333
0;82;1;0;0;0;19948;159;0;4.266.667;2.215.574;.7709606;1;0;0;0;0;0;0;0;0;1;4.266.667
1;93;0;1;0;1;19955;156;0;2.966.667;2.623.218;-.6934443;0;0;0;0;0;0;0;0;0;1;2.966.667
0;74;0;0;0;0;19979;126;0;7.433.329;.7801586;.6107914;1;0;0;0;0;0;0;0;0;0;7.433.329
0;62;0;0;0;0;19980;114;1.933.333;0;2.662.963;.4963847;1;0;0;0;0;0;0;1;0;0;1.933.333
0;91;1;0;0;0;19981;119;0;4.333.333;1.924.248;1.297.231;0;0;0;0;0;0;1;0;1;0;4.333.333
1;99;1;0;0;0;20018;143;0;4.522.219;2.625.985;0;0;0;0;0;1;0;0;0;1;0;4.522.219
0;67;1;0;0;0;20031;120;0;2.166.667;199.061;-.6934443;0;0;1;0;0;0;0;0;0;1;2.166.667
0;50;1;0;0;0;20038;90;0;4.3;2.379.546;-.807851;0;0;0;1;0;0;0;1;0;0;4.3
1;73;0;0;0;0;20044;142;1.177.776;0;1.009;-.5561563;1;0;0;0;0;0;0;0;1;0;1.177.776
0;59;0;0;0;0;20069;133;0;0;2.428.144;1.045.537;1;0;0;0;0;0;0;0;0;0;0
1;85;0;0;0;0;20109;74;.2;0;194.182;-.5790377;0;1;0;0;0;0;0;0;0;1;.2
0;86;1;0;0;0;20113;138;0;4.433.333;228.218;.8167233;0;0;0;0;0;0;0;0;1;0;4.433.333
1;74;1;0;0;0;20115;73;0;3.733.327;2.491.754;.2446901;0;0;0;0;1;0;0;0;1;0;3.733.327
1;78;0;0;0;0;20116;127;0;0;1.704.428;1.205.706;0;0;0;1;0;0;0;0;0;1;0
0;88;0;0;0;0;20118;134;0;5.833.327;1.791.759;.7709606;1;0;0;0;0;0;0;0;1;0;5.833.327
0;72;1;0;0;0;20124;123;.1;4.266.667;3.091.043;.4963847;0;1;0;0;0;0;0;0;0;0;4.366.667
0;79;1;0;0;0;20130;119;0;3.533.333;3.210.844;1.022.655;0;0;0;0;0;0;1;1;0;0;3.533.333
0;93;1;0;1;0;20144;148;0;4.8;2.287.069;.1531648;0;0;0;0;0;0;0;0;0;1;4.8
1;80;1;0;0;0;20150;127;0;4.166.667;2.405.657;.9997739;1;0;0;0;0;0;0;1;0;0;4.166.667
1;67;1;0;0;0;20219;115;.1;3.566.667;2.507.506;.0845208;0;0;0;1;0;0;0;1;0;0;3.666.667
0;24;0;0;0;0;20228;162;0;0;2.501.036;-1.196.833;0;0;1;0;0;0;0;0;1;0;0
0;20;0;0;0;0;20234;72;0;0;1.969.816;-1.379.884;0;0;0;0;0;0;0;0;0;0;0
1;88;0;0;0;0;20239;148;0;4.033.333;2.322.788;1.137.062;0;0;0;0;0;0;0;0;0;1;4.033.333
0;95;1;0;0;0;20242;139;0;4.822.217;3.044.523;1.892.146;0;0;0;0;1;0;0;0;1;0;4.822.217
0;20;0;0;0;1;20243;138;0;0;2.476.014;.0616395;1;0;0;0;0;0;0;0;0;1;0
1;34;0;0;0;0;20250;147;.6;0;2.335.375;-.1442924;1;0;0;0;0;0;0;1;0;0;.6
0;50;0;0;0;0;20260;151;0;0;2.066.863;-1.448.528;1;0;0;0;0;0;0;0;1;0;0
0;96;0;0;0;0;20269;136;0;5.766.667;3.064.281;1.297.231;0;0;1;0;0;0;0;0;0;0;5.766.667
1;72;0;0;0;0;20270;27;0;0;1.515.127;.1302835;0;0;0;0;0;0;0;1;0;0;0
1;17;0;0;0;0;20273;138;0;0;1.899.117;-.9909015;0;0;1;0;0;0;0;0;1;0;0
1;95;0;0;0;0;20277;121;0;3.866.665;3.456.234;0;1;0;0;0;0;0;0;0;1;0;3.866.665
0;33;0;0;0;0;20288;147;0;0;2.236.735;-1.723.104;0;0;0;0;0;0;0;0;0;0;0
1;59;0;0;0;0;20291;157;0;0;2.264.883;-.395987;0;0;0;0;0;0;0;0;1;0;0
1;58;0;0;0;0;20314;148;0;0;2.307.572;0;0;0;0;0;0;0;0;0;1;0;0
0;12;0;0;0;0;20323;161;0;0;189.712;-1.906.155;0;1;0;0;0;0;0;1;0;0;0
0;72;0;0;0;0;20324;148;2.155.552;1.444.443;1.252.763;.3133341;0;1;0;0;0;0;0;0;1;0;3.599.995
1;94;0;0;0;0;20327;132;1.333.333;5.888.887;2.636.179;1.159.943;1;0;0;0;0;0;0;0;0;0;7.222.221
0;88;1;0;0;0;20334;150;1.6;2.9;3.352.407;1.228.587;0;0;0;1;0;0;0;0;0;1;4.5
1;99;1;0;0;0;20343;131;0;4.499.994;2.908.616;1.114.181;0;0;0;0;0;0;0;0;0;0;4.499.994
0;62;1;0;0;0;20357;126;0;4.3;2.931.194;0;0;0;0;0;1;0;0;0;1;0;4.3
0;77;0;0;0;0;20368;72;0;2.033.333;1.818.409;-.0985298;0;0;0;0;0;0;0;0;0;1;2.033.333
1;55;0;0;0;0;20406;110;0;.7;2.436.241;-.2358177;0;0;0;0;0;0;0;0;1;0;.7
1;90;0;0;0;1;20407;133;1.1;.6666667;2.171.907;.1302835;0;0;1;0;0;0;0;0;0;0;1.766.667
1;33;0;0;0;0;20410;37;0;0;1.609.438;.2218088;0;0;1;0;0;0;0;0;0;1;0
0;50;0;0;0;1;20415;134;0;.3;1.832.582;0;0;1;0;0;0;0;0;0;1;0;.3
0;11;0;0;0;0;20422;158;0;.2;2.327.278;-1.448.528;1;0;0;0;0;0;0;0;0;1;.2
0;15;0;0;0;0;20424;165;0;0;2.762.117;0;0;0;0;1;0;0;0;0;1;0;0
1;52;0;0;0;0;20440;143;0;0;1.609.438;.3590968;0;0;0;0;1;0;0;0;0;1;0
0;66;1;0;1;0;20452;121;0;4.5;2.251.292;-.5790377;0;0;0;0;0;0;1;1;0;0;4.5
0;31;0;0;0;0;20458;38;0;0;1.609.438;.1531648;0;0;0;0;0;0;0;1;0;0;0
0;83;0;0;0;0;20475;78;0;0;1.791.759;1.342.994;0;0;1;0;0;0;0;1;0;0;0
1;80;0;0;0;0;20496;143;0;0;2.235.376;.0158769;0;1;0;0;0;0;0;0;1;0;0
1;99;1;0;0;0;20515;130;.2;3.866.667;2.927.186;1.434.519;1;0;0;0;0;0;0;0;0;1;4.066.667
0;19;0;0;1;0;20519;158;.7999995;0;2.271.094;-.8764949;1;0;0;0;0;0;0;0;0;0;.7999995
1;5;0;0;0;1;20526;131;3.583.333;.2;2.158.773;0;1;0;0;0;0;0;0;0;0;0;3.783.333
1;30;1;0;0;0;20569;97;2.155.552;2.311.106;1.391.281;.7023167;0;1;0;0;0;0;0;0;0;0;4.466.659
1;86;0;0;1;0;20577;86;0;.7555536;1.927.164;-.7849696;0;1;0;0;0;0;0;0;0;1;.7555536
1;59;0;0;0;0;20583;117;2.266.667;0;2.569.773;.656554;1;0;0;0;0;0;0;1;0;0;2.266.667
1;96;1;0;0;0;20591;135;1.1;3.733.333;1.753.308;1.091.299;1;0;0;0;0;0;0;0;1;0;4.833.333
0;79;1;0;0;0;20593;98;0;4.333.333;2.484.907;.4735034;0;1;0;0;0;0;0;0;1;0;4.333.333
0;66;0;0;0;0;20606;124;0;0;1.832.582;.5879101;0;1;0;0;0;0;0;0;0;0;0
0;52;0;0;0;0;20631;166;0;0;2.140.066;-1.242.596;1;0;0;0;0;0;0;1;0;0;0
0;51;0;0;0;0;20648;161;0;0;2.679.879;.725198;0;0;0;0;1;0;0;0;0;0;0
1;90;0;0;0;0;20659;155;.5;1.1;.6286086;1.388.757;0;0;0;0;0;0;1;1;0;0;1.6
0;48;0;0;0;0;20661;141;0;0;2.762.117;-.739207;1;0;0;0;0;0;0;0;0;0;0
0;72;1;0;0;0;20664;160;0;5.066.667;2.875.826;.9997739;0;0;0;0;1;0;0;0;0;1;5.066.667
0;50;0;0;0;0;20687;166;0;0;2.251.292;.5879101;0;1;0;0;0;0;0;0;1;0;0
1;77;1;0;0;0;20724;160;0;4.366.663;2.767.623;.9311299;0;0;0;1;0;0;0;0;0;0;4.366.663
1;19;1;0;0;0;20731;125;0;4.444.437;2.172.324;-.2815804;1;0;0;0;0;0;0;0;0;0;4.444.437
0;60;0;0;0;0;20734;145;0;1.333.333;3.218.876;.6794354;0;0;0;0;0;0;0;0;1;0;1.333.333
0;10;0;0;0;0;20744;162;0;0;2.088.153;0;1;0;0;0;0;0;0;0;0;1;0
1;94;1;0;0;0;20774;126;0;4.2;2.311.297;1.342.994;0;0;0;0;0;0;0;0;1;0;4.2
0;86;1;0;0;0;20775;123;0;6.6;1.427.116;1.091.299;0;0;0;0;0;1;0;1;0;0;6.6
0;31;0;0;0;0;20779;142;0;0;1.347.843;-1.517.172;0;0;0;0;0;0;0;0;0;0;0
1;95;1;0;0;0;20792;119;0;4.6;2.484.907;.8396046;0;0;0;1;0;0;0;1;0;0;4.6
1;56;1;0;0;0;20813;113;0;3.233.333;244.658;.6107914;0;0;0;0;1;0;0;1;0;0;3.233.333
1;37;0;0;0;0;20820;146;1.2;0;2.453.158;.2446901;0;0;0;0;0;0;1;0;0;0;1.2
0;61;1;0;1;0;20823;124;0;4.8;2.397.895;.7709606;0;0;0;0;0;0;0;1;0;0;4.8
1;78;0;0;0;0;20867;112;0;0;2.079.442;-.2358177;0;0;0;0;0;0;0;0;0;1;0
1;91;0;0;0;0;20876;71;0;0;1.781.604;-.2586991;0;0;0;0;0;0;0;0;1;0;0
0;38;0;0;0;0;20881;145;.1666667;.355555;2.977.084;.2675714;0;0;0;0;0;0;1;0;1;0;.5222216
1;96;1;0;0;0;20906;78;0;4.933.333;2.021.548;0;0;0;0;0;0;0;0;0;0;0;4.933.333
0;24;0;0;0;0;20910;140;3.833.333;.2333333;2.944.439;.2904528;1;0;0;0;0;0;0;0;0;0;4.066.667
1;15;0;0;0;0;20961;154;0;0;2.224.623;0;0;0;0;0;0;0;0;0;0;1;0
1;74;1;0;0;0;20963;125;2.133.333;2.933.329;2.474.751;.1989275;0;0;0;0;0;0;0;0;0;1;5.066.663
0;82;0;0;0;0;20964;158;0;0;2.593.013;-.8993762;1;0;0;0;0;0;0;0;0;0;0
0;38;1;0;0;0;20991;130;0;3.8;2.900.422;.9082486;1;0;0;0;0;0;0;1;0;0;3.8
0;90;1;0;0;0;21002;64;0;4.183.333;2.628.285;.2218088;0;0;0;1;0;0;0;0;0;1;4.183.333
0;46;0;0;0;1;21005;150;0;0;3.149.316;-.807851;0;0;0;0;0;1;0;1;0;0;0
1;99;1;0;0;0;21006;98;0;5.833.333;1.798.223;.8167233;1;0;0;0;0;0;0;0;0;1;5.833.333
1;53;1;0;0;0;21029;135;0;4.533.333;1.894.617;.5879101;0;0;0;0;0;0;0;1;0;0;4.533.333
0;90;1;0;0;0;21035;127;0;3.466.663;2.484.907;1.297.231;0;0;0;0;0;0;0;0;0;1;3.466.663
0;59;1;0;0;0;21044;131;0;4.744.442;2.397.895;1.434.519;0;1;0;0;0;0;0;0;0;0;4.744.442
0;28;0;0;0;0;21058;58;0;0;2.525.729;-1.906.155;0;0;0;0;0;0;0;0;1;0;0
0;20;0;0;0;0;21062;101;0;1.766.667;2.694.827;-.1214111;0;0;1;0;0;0;0;1;0;0;1.766.667
1;50;0;0;1;0;21070;73;.1666667;1.222.221;1.852.033;-1.745.985;0;1;0;0;0;0;0;0;1;0;1.388.888
1;91;1;0;0;0;21079;145;0;4.4;2.525.729;0;0;0;0;0;0;0;0;0;0;1;4.4
0;74;1;0;0;0;21090;139;0;4.316.667;2.484.907;.9997739;0;0;0;0;0;1;0;0;0;0;4.316.667
1;90;0;0;0;0;21091;126;0;7.288.884;2.336.987;1.205.706;1;0;0;0;0;0;0;0;0;1;7.288.884
1;33;0;0;0;0;21118;134;0;1.155.554;2.320.424;-.1900551;1;0;0;0;0;0;0;0;0;0;1.155.554
1;89;1;0;0;0;21123;153;.2;4.566.667;280.336;1.022.655;1;0;0;0;0;0;0;0;0;1;4.766.666
1;50;1;0;0;0;21130;54;0;7.2;1.925.475;1.022.655;0;1;0;0;0;0;0;0;0;1;7.2
1;95;0;0;0;0;21136;130;0;1.866.667;1.423.108;.9997739;0;0;0;1;0;0;0;0;1;0;1.866.667
0;25;0;1;0;0;21174;55;2.366.667;1.799.996;270.805;-1.105.308;0;1;0;0;0;0;0;0;0;0;4.166.663
0;49;1;0;0;0;21187;124;0;4.466.667;2.287.081;.4048594;0;0;0;1;0;0;0;0;0;1;4.466.667
1;62;0;0;0;0;21188;135;.3777774;0;203.094;.656554;1;0;0;0;0;0;0;0;1;0;.3777774
1;93;1;0;0;0;21196;143;213.333;262.222;2.491.948;.4048594;0;0;1;0;0;0;0;0;1;0;475.555
0;43;0;0;0;0;21201;163;0;0;2.397.895;-.2129364;0;0;0;0;0;1;0;0;1;0;0
0;74;1;0;0;0;21206;74;0;3.933.333;1.704.748;-.1214111;0;1;0;0;0;0;0;0;0;1;3.933.333
0;29;1;0;0;0;21208;99;0;6.716.667;2.445.366;1.205.706;1;0;0;0;0;0;0;0;1;0;6.716.667
0;74;1;0;0;0;21225;131;0;5.088.883;2.456.736;.2904528;0;0;0;0;0;0;1;0;0;1;5.088.883
1;86;0;0;0;0;21238;147;0;.4666662;306.409;.1760461;0;0;0;0;0;1;0;0;1;0;.4666662
0;50;0;0;0;0;21243;93;2.1;0;2.014.903;.7709606;1;0;0;0;0;0;0;0;0;1;2.1
1;84;0;0;0;0;21270;81;0;0;1.667.707;-.1442924;0;0;0;0;0;0;0;0;1;0;0
0;66;0;1;0;0;21273;143;3.833.333;0;2.066.863;.4277408;0;0;0;0;1;0;0;0;1;0;3.833.333
0;38;1;0;0;0;21283;119;1.866.667;3.133.329;2.995.732;-.3044617;0;0;0;0;1;0;0;0;1;0;4.999.996
1;99;0;1;0;0;21295;145;2.533.333;0;2.545.531;1.251.469;0;0;0;0;1;0;0;0;1;0;2.533.333
1;91;0;0;0;0;21310;138;0;5.066.667;249.364;14.574;1;0;0;0;0;0;0;1;0;0;5.066.667
0;37;0;0;0;0;21353;156;0;0;2.564.949;.3590968;1;0;0;0;0;0;0;0;0;1;0
1;50;1;0;0;0;21355;156;.3;3.333.333;2.148.434;1.068.418;1;0;0;0;0;0;0;1;0;0;3.633.333
0;40;0;0;0;0;21366;164;0;0;2.451.333;.4735034;0;1;0;0;0;0;0;1;0;0;0
1;70;1;0;0;0;21380;122;0;4.799.992;1.878.771;-.327343;0;1;0;0;0;0;0;0;1;0;4.799.992
0;65;1;0;0;0;21434;125;0;4.733.333;384.303;.2675714;0;0;0;1;0;0;0;0;1;0;4.733.333
0;66;1;0;0;0;21439;102;2.233.333;2.966.667;2.351.375;.3133341;0;0;0;0;0;0;0;0;0;1;5.2
1;83;0;0;0;0;21456;163;0;0;2.302.585;.4048594;1;0;0;0;0;0;0;1;0;0;0
1;81;1;0;0;0;21458;124;0;4.688.888;213.653;0;0;0;0;0;0;0;1;0;1;0;4.688.888
0;10;0;0;0;0;21460;140;1.4;0;2.386.394;-1.608.697;0;0;0;0;0;0;1;1;0;0;1.4
1;90;0;0;0;1;21463;134;0;0;1.704.748;.793842;0;0;0;0;0;0;0;0;0;0;0
0;74;1;0;0;0;21477;151;2.633.329;1.955.554;2.515.274;1.091.299;1;0;0;0;0;0;0;0;0;0;4.588.883
0;12;0;0;0;0;21488;68;.8888867;0;2.197.225;-.9451389;1;0;0;0;0;0;0;0;0;0;.8888867
1;90;1;0;0;0;21490;65;0;4.3;239.606;-.0070045;1;0;0;0;0;0;0;1;0;0;4.3
0;91;1;0;0;0;21493;146;0;4.866.667;2.961.047;.7480794;1;0;0;0;0;0;0;1;0;0;4.866.667
1;50;0;0;0;1;21507;141;0;2.833.333;216.791;.3362154;1;0;0;0;0;0;0;0;0;1;2.833.333
1;77;1;0;0;0;21523;109;2.244.442;2;.654696;-.3044617;0;0;1;0;0;0;0;0;0;0;4.244.442
0;50;0;0;0;0;21553;166;0;0;2.517.696;-.533275;0;1;0;0;0;0;0;0;0;1;0
1;91;0;0;0;0;21561;149;0;0;1.910.975;.0158769;0;0;0;0;0;0;0;0;0;1;0
0;47;0;0;0;0;21590;143;0;0;220.833;.2675714;0;0;0;1;0;0;0;0;0;1;0
1;45;0;0;0;0;21597;156;.6333333;0;2.014.903;-.1900551;1;0;0;0;0;0;0;0;0;0;.6333333
1;36;1;0;0;0;21603;119;0;5.111.104;2.662.879;.1074022;0;0;0;0;1;0;0;0;1;0;5.111.104
0;87;0;0;0;0;21605;119;0;0;3.444.683;1.320.112;1;0;0;0;0;0;0;0;1;0;0
0;6;0;0;1;0;21613;47;2.233.333;0;1.682.621;-1.951.917;1;0;0;0;0;0;0;0;0;1;2.233.333
0;64;1;0;0;0;21622;119;0;4.1;2.750.471;14.574;0;0;0;0;0;0;1;0;1;0;4.1
0;50;1;0;0;0;21647;133;0;4.088.883;1.878.549;1.526.044;0;0;0;0;0;0;1;0;1;0;4.088.883
1;65;0;0;0;0;21649;105;0;5.3;2.505.526;.2904528;0;1;0;0;0;0;0;0;1;0;5.3
